#{"t_start": 1696350109.7722366, "env_id": "None"}
r,l,t,out_of_lane,exceed_max_rot,distance
18.2893,20,18.594656,False,True,7.888151869551559
19.6871,21,20.383165,False,True,7.9009517650034455
24.6289,26,23.95399,False,True,9.496564838031459
14.844602,16,30.475708,False,True,5.446708431251325
21.7561,23,38.6645,False,True,7.8644616253376975
48.6852,51,40.93981,False,True,12.361067911302714
4.9797997,6,43.054765,False,True,2.028988554660628
14.673399,16,50.111325,False,True,5.446327071116406
44.909603,48,51.413724,False,True,16.72922183363525
30.630997,43,57.057459,True,False,14.918527016670424
4.9799,6,60.680336,False,True,2.028991070694659
13.8057995,16,60.680442,False,True,5.44611874215492
17.788898,19,62.354908,False,True,6.480357914855873
37.8249,39,66.594991,False,True,13.491752060216358
8.9369,10,67.641912,False,True,3.3905508594559897
9.8145,11,69.193668,False,True,3.7319221686226873
27.1943,29,78.999672,False,True,9.956616781008348
21.840097,24,82.056579,False,True,8.211260005206553
24.571901,26,83.48527,False,True,8.90842513709153
33.1183,35,87.692628,False,True,12.069106240437467
10.872099,12,90.480293,False,True,4.073928891978091
8.924801,10,96.310724,False,True,3.3904033003463616
33.5315,35,100.194586,False,True,12.06864276001874
22.448997,24,102.506964,False,True,8.21245144053768
10.7779,12,103.823428,False,True,4.073986574702413
10.768901,12,107.813703,False,True,4.073828732722861
6.8919997,8,108.776263,False,True,2.708662945926148
37.228794,47,111.439037,False,True,16.35711177184534
10.981501,12,115.473923,False,True,4.074216867223728
11.9611,13,117.122959,False,True,4.416563096322051
14.919901,17,125.145898,False,True,5.790323269650509
36.225403,50,131.467627,False,True,17.448483389377273
11.843599,13,132.524588,False,True,4.416588144394677
41.862495,44,141.212354,False,True,15.28432479325003
53.430202,63,146.864368,False,True,22.247160661740743
29.575098,31,149.768061,False,True,10.659412526197968
15.6765,17,152.159767,False,True,5.79049206460592
3.989,5,153.445442,False,True,1.6897427766032036
18.6695,22,160.905613,False,True,7.51786549738889
14.5704,16,161.87656,False,True,5.446671497482552
5.9815,7,165.599765,False,True,2.3687164750449656
10.869401,12,168.274564,False,True,4.074006900184413
24.9033,27,169.893863,False,True,9.256976781387129
9.932799,11,173.066772,False,True,3.732105672195444
7.9486,9,174.381222,False,True,3.0494000840917637
9.9803,11,176.982011,False,True,3.732133116949199
75.5085,89,185.663325,False,True,32.19291846865571
12.414801,14,193.374794,False,True,4.758925449726466
36.4924,38,194.877769,False,True,13.1361224046559
41.001705,44,199.728162,False,True,15.284764581893805
19.177198,21,206.750068,False,True,7.171362415144974
46.624,55,208.711868,False,True,19.28788707819314
49.180984,51,227.189512,False,True,17.819477828536098
53.780907,67,230.657035,False,True,23.735805976046095
33.565998,45,231.574789,False,True,15.64550107650292
9.818699,11,234.470027,False,True,3.7320365167497243
34.792297,52,237.633398,False,True,18.186478042107225
45.7549,48,260.684329,False,True,16.731299277100295
50.6068,52,260.68449,False,True,18.187653628843147
47.722595,56,262.654946,False,True,19.646570289332868
5.9879,7,265.281485,False,True,2.368711133847869
61.793602,69,275.791957,False,True,24.50574117484351
24.7872,26,289.78008,False,True,8.907974880470537
42.624405,45,289.780216,False,True,15.639856798702722
19.8046,21,301.422322,False,True,7.171846471257067
105.525024,108,321.914911,False,True,39.73676603657857
40.829,42,324.655148,False,True,14.565910276629324
49.365395,72,329.775291,False,True,25.63916617642053
123.41739,127,331.604669,False,True,47.38381811198515
4.9742,6,334.805899,False,True,2.028922899804547
20.652401,24,338.856072,False,True,8.211996025086473
13.703199,15,346.798109,False,True,5.102881498856109
