#{"t_start": 1710733659.4196599, "env_id": "None"}
r,l,t,out_of_lane,exceed_max_rot,distance,agent_done
143.06989,245,48.084237,True,False,9.448222552487541,False
244.96426,261,51.609415,False,True,10.054616366779404,False
173.45651,267,53.286373,True,False,10.313680831903103,False
276.8574,352,68.929745,False,True,13.287443252676695,False
346.45752,418,81.008308,True,False,15.303606238175078,False
113.36276,215,91.63122,True,False,8.691499532814031,False
452.98993,483,93.373605,False,True,17.40265489106198,False
128.01962,236,97.619425,True,False,9.254119955807475,False
103.05198,195,105.803145,True,False,7.919867054568368,False
546.4628,641,122.989961,False,True,23.82769025895883,False
625.1281,742,140.672884,True,False,27.34054287888961,False
235.99998,247,142.569905,False,True,9.306822619304354,False
436.03546,539,148.900238,True,False,19.43026590248302,False
194.13815,199,159.204885,False,True,7.195251316614824,False
350.33487,517,186.800044,True,False,18.61516424193054,False
237.8115,298,202.757253,False,True,10.771193682234898,False
572.7747,699,209.473568,True,False,25.62730356566074,False
487.78708,641,211.066913,True,False,23.574933967099003,False
292.89337,410,216.465102,True,False,14.971569317564496,False
263.4758,367,227.286629,True,False,13.679186343853397,False
522.7224,660,227.286714,True,False,24.115769488267354,False
160.86751,175,244.096021,False,True,7.142192239493056,False
158.83893,310,245.085832,True,False,12.032572077918278,False
245.56137,282,265.917399,False,True,10.226589903040264,False
299.9306,383,276.209842,True,False,14.197102125645204,False
149.22629,253,284.312882,True,False,9.803519078912807,False
284.08075,381,290.016657,True,False,13.892145164127257,False
295.8935,391,325.78826,True,False,14.405391145359411,False
277.85144,295,334.706172,False,True,11.066052695746661,False
639.7025,767,348.919828,True,False,28.218149675985224,False
238.48312,446,352.803158,True,False,17.028129807516702,False
1106.2617,1293,359.838087,True,False,47.16030980000412,False
164.0471,288,393.801458,True,False,11.122400925531405,False
94.34989,134,394.949203,False,True,5.627697723592814,False
521.23615,680,395.729384,True,False,25.305302265371296,False
339.3362,503,418.414548,True,False,18.58979744390096,False
374.72162,498,443.314749,True,False,18.6373133978069,False
284.26486,327,445.356329,False,True,12.797594045086603,False
