#{"t_start": 1710724393.3977578, "env_id": "None"}
r,l,t,out_of_lane,exceed_max_rot,distance,agent_done
-0.06801599,2,2.403116,False,True,1.7870832400788996,False
2.6392758,5,3.360352,False,True,4.658467706576835,False
2.7483785,5,3.360446,False,True,4.333644117283337,False
2.310634,5,3.360459,False,True,6.2451650424700755,False
-0.073945105,2,4.004079,False,True,2.283724348036843,False
4.6121655,8,4.495008,False,True,4.367355484099964,False
1.6425836,5,5.158562,False,True,5.037929269656569,False
5.4267945,10,5.158647,False,True,7.954486539725972,False
7.8131456,11,5.689908,False,True,9.399683849434139,False
9.243611,13,8.204661,False,True,10.138645413170712,False
0.42788208,6,8.650722,True,False,5.861555022532691,False
4.803826,9,9.159542,False,True,8.401392793139749,False
4.2626433,14,9.911048,True,False,10.365768022458019,False
1.3745012,4,9.911144,False,True,3.7867689679632583,False
8.227355,13,10.404886,False,True,9.284662548609063,False
4.0033894,7,11.390099,False,True,4.5536285846191324,False
18.26283,24,11.390191,False,True,18.33919808994763,False
1.4923573,6,11.889348,False,True,5.640280651790059,False
3.750753,7,12.41357,False,True,6.5775286675004345,False
3.2720842,6,12.413659,False,True,5.987942028898443,False
2.8033097,5,13.266415,False,True,4.054644621395165,False
5.467475,8,14.084677,False,True,5.970706561306594,False
5.2979913,8,14.595502,False,True,4.876049215427547,False
1.2403171,4,14.595593,False,True,4.129879735574239,False
5.831882,9,15.294051,False,True,6.994457271642808,False
18.82089,29,16.378697,True,False,23.004323918704927,False
4.575631,9,17.054581,False,True,6.739103335876526,False
17.387392,21,18.230029,False,True,11.807488611745445,False
7.3826923,13,18.736671,False,True,9.554619236237478,False
17.123043,21,20.122797,False,True,17.374076832011937,False
9.114904,12,20.12289,False,True,9.996359600541329,False
18.529284,44,20.122904,True,False,28.588454794988888,False
14.3979435,23,20.640981,False,True,18.328243383844796,False
0.69189084,3,21.403627,False,True,3.152764047083512,False
16.428087,20,22.064885,False,True,12.288023590319488,False
2.3234453,7,22.619721,False,True,4.686348958320852,False
6.0107646,13,22.619812,False,True,8.504163953018882,False
8.661131,13,23.886619,False,True,11.306807187127802,False
5.0730844,8,24.360591,False,True,3.9312107063079593,False
41.763393,53,24.841599,False,True,39.12558261549067,False
2.6591058,10,25.504746,True,False,7.653290264664447,False
16.248396,21,26.478544,False,True,18.911110165822873,False
6.319916,11,27.592385,False,True,10.4495289010144,False
9.762178,20,28.09529,False,True,12.767463390915255,False
8.647199,12,28.770977,False,True,10.04033381736163,False
13.221151,16,29.29772,False,True,9.659209231456284,False
15.818459,19,29.924155,False,True,10.206312275966683,False
8.961296,12,30.527609,False,True,7.486495605419256,False
3.507762,6,30.527702,False,True,5.134915095187485,False
4.09132,7,30.527715,False,True,5.30727486502139,False
2.564935,5,31.085798,False,True,2.513044717617025,False
21.51958,31,31.570399,True,False,20.990728258605294,False
0.72632587,3,32.095257,False,True,3.2124942978702595,False
2.2803285,5,32.770728,False,True,3.9769087016375284,False
1.3261492,4,32.770824,False,True,3.44090499220619,False
5.8106303,9,33.270154,False,True,6.635041461649442,False
2.6252873,5,34.261038,False,True,4.275425215901515,False
7.582979,10,34.92709,False,True,6.645101311227396,False
6.1695886,9,34.927183,False,True,4.2754592244409535,False
23.448252,54,35.609876,True,False,28.348500087092052,False
0.41454268,3,36.073915,False,True,2.737924748921399,False
13.566089,17,36.723796,False,True,11.08951439565639,False
6.79545,11,36.723881,False,True,8.199970511971074,False
4.9299436,8,37.990241,False,True,6.587072114217765,False
8.361677,11,39.091402,False,True,7.41723898508053,False
3.002666,6,39.561214,False,True,3.9319808978126223,False
26.115427,31,40.0843,False,True,21.114837488426886,False
11.948177,16,40.930446,False,True,11.128010842021462,False
13.433309,19,40.930538,False,True,13.458045027081441,False
2.5328438,5,41.573977,False,True,3.5697887111535986,False
27.326488,31,42.086517,False,True,20.152328111057297,False
4.907406,10,42.769549,False,True,6.414666012146793,False
22.151546,27,43.28386,False,True,19.32482078669493,False
1.4427035,5,43.741239,False,True,3.3298799524621763,False
5.4195924,8,44.242418,False,True,5.888662495866539,False
8.810103,12,44.24251,False,True,10.132311309630937,False
3.7163258,6,44.745322,False,True,4.525185438444883,False
2.7675128,5,45.397183,False,True,3.4156293939003994,False
1.5634797,4,45.853986,False,True,3.5841721456720395,False
