#{"t_start": 1710734647.4258828, "env_id": "None"}
r,l,t,out_of_lane,exceed_max_rot,distance,agent_done
-0.38328302,2,4.80383,False,True,2.7668274630704746,False
0.56903327,3,5.580749,False,True,3.0580746643947703,False
0.96748245,4,6.407742,False,True,4.257772771373368,False
0.77577174,3,7.250851,False,True,2.4793273645190848,False
5.0294914,8,8.751196,False,True,5.16933491660867,False
5.613656,8,8.751271,False,True,4.627072127851346,False
10.461314,13,10.417796,False,True,7.962173925611869,False
9.805981,13,15.402641,False,True,9.943576335457413,False
14.393355,17,15.40276,False,True,11.535767555582712,False
15.649069,20,16.556454,False,True,14.850807781962372,False
8.699259,16,17.501046,True,False,10.993448914713722,False
1.8310571,5,18.482613,False,True,4.779332203741793,False
6.189692,15,19.461384,True,True,11.994136281715825,False
2.980803,7,20.497721,False,True,4.742322235989172,False
2.948208,6,21.703253,False,True,6.20877241622922,False
3.3610249,6,22.719617,False,True,5.10909775018773,False
6.0109644,9,23.374381,False,True,8.559239700801973,False
5.4294763,8,24.106317,False,True,5.883789322516918,False
9.377719,24,24.106393,True,False,14.198828004472986,False
8.522552,11,24.770585,False,True,6.964995309168579,False
26.573252,36,25.929529,False,True,28.225960937241293,False
9.90308,14,26.774487,False,True,11.314611832426424,False
7.1867,11,27.29995,False,True,7.478794021518427,False
10.308158,22,28.482916,True,False,12.626241456425419,False
30.80808,41,29.885715,False,True,30.630737462575453,False
11.532698,15,29.885793,False,True,12.105096330304715,False
14.385537,23,30.401936,False,True,18.329048667010372,False
16.650684,23,31.123472,False,True,15.691795470469485,False
0.6088613,3,31.639728,False,True,3.284331990953578,False
13.916863,29,32.148725,True,True,20.069998631411305,False
3.0941205,7,32.833771,False,True,4.548526561638405,False
5.233733,19,32.833843,True,False,11.97443735722026,False
13.806396,25,34.297068,False,True,18.698094242316355,False
4.3391747,11,35.38159,True,True,8.28022750530056,False
11.398609,15,35.381668,False,True,12.728923438373275,False
10.635345,14,35.878982,False,True,7.690337815238628,False
15.525646,21,36.557066,False,True,18.590302301845746,False
0.32711637,3,36.557145,False,True,3.3994537325900667,False
17.137173,22,37.707693,False,True,16.13695504104217,False
13.880525,20,38.507025,False,True,12.576373785129602,False
4.9067006,8,38.507099,False,True,5.173918937018568,False
4.174697,7,39.374914,False,True,5.828765715319404,False
7.26735,11,40.386936,False,True,8.969662508479054,False
9.266934,12,42.102557,False,True,7.265017693619376,False
3.4880052,6,42.102639,False,True,5.08739416567945,False
2.6591291,5,42.988738,False,True,2.4871681722263337,False
2.4009564,5,44.807278,False,True,3.7089311759933317,False
1.5857096,4,44.807353,False,True,3.18086531247371,False
7.1382074,10,44.807379,False,True,7.518031184964992,False
1.6352735,5,46.603568,False,True,4.438202380383136,False
13.532353,17,47.605251,False,True,10.717217215819927,False
4.7713094,7,48.560664,False,True,3.702122879793387,False
16.09,20,49.483677,False,True,11.976828726150297,False
0.7061211,3,50.699873,False,True,2.5510679138067798,False
1.2180052,4,50.69995,False,True,3.2699206474106925,False
8.455336,17,51.989603,False,True,11.827581550588196,False
22.754335,36,51.989682,True,False,20.760129168826644,False
0.574388,3,52.981094,False,True,2.697141535955512,False
4.961755,8,55.066527,False,True,6.129193416381071,False
53.617188,63,56.063476,False,True,35.85662963599829,False
3.6794395,9,57.273897,False,True,6.334595699039873,False
3.336216,6,58.471789,False,True,3.713344661606068,False
9.165052,12,58.471864,False,True,8.18007059785718,False
13.041725,16,60.128492,False,True,10.880875892607076,False
4.845611,8,61.766149,False,True,5.632670826355134,False
7.310705,10,61.766226,False,True,5.301192751323245,False
15.373777,26,62.936111,False,True,19.482619963574265,False
13.976958,17,64.087546,False,True,10.96676622685989,False
7.4120855,12,64.087621,False,True,9.725345963722063,False
2.390178,5,65.272756,False,True,3.542077052914494,False
33.79643,40,66.387656,False,True,27.337446003248434,False
1.1437318,4,66.387733,False,True,3.7612822298768553,False
4.095394,7,67.85097,False,True,4.760647434590512,False
9.118082,12,68.822893,False,True,7.0595445394939835,False
3.385857,6,69.792957,False,True,5.526982608730632,False
28.48045,41,70.867367,True,True,28.122190150183332,False
4.1581388,8,72.286448,False,True,4.014905881055964,False
5.0489016,13,74.464468,True,False,8.920417987526804,False
6.1020846,10,74.464542,False,True,6.933580667079772,False
3.9849844,8,75.259007,False,True,6.948261890432165,False
7.8567553,11,77.286855,False,True,9.041777685315878,False
11.492838,15,77.286929,False,True,10.917389668797489,False
11.522515,15,78.209443,False,True,9.209248571458764,False
5.3272047,9,79.421028,False,True,7.270968733780026,False
7.201372,10,80.464263,False,True,7.651836563364587,False
11.576554,15,82.687181,False,True,8.173307813226065,False
23.116798,40,84.162015,True,False,25.802152163295748,False
6.3622065,16,86.063056,True,False,10.542515287794386,False
9.559046,18,86.996858,True,False,11.852445532006024,False
